id,periode,pecahan,value
bjm,15,JL,502.0
bjm,16,JL,-428.0
bjm,17,JL,72.0
bjm,18,JL,-558.0
bjm,19,JL,636.0
bjm,20,JL,714.0
bjm,21,JL,-46.0
bjm,22,JL,170.0
bjm,23,JL,-120.0
bjm,24,JL,236.0
bjm,13,KL,-70.0
bjm,14,KL,110.0
bjm,15,KL,470.0
bjm,16,KL,190.0
bjm,17,KL,-230.0
bjm,18,KL,50.0
bjm,19,KL,-430.0
bjm,20,KL,-30.0
bjm,21,KL,770.0
bjm,22,KL,-30.0
bjm,23,KL,-430.0
bjm,24,KL,-230.0
btm,13,AK,-125.0
btm,14,AK,123.0
btm,15,AK,62.0
btm,16,AK,392.0
btm,17,AK,367.0
btm,18,AK,-225.0
btm,19,AK,447.0
btm,20,AK,656.0
btm,21,AK,401.0
btm,22,AK,529.0
btm,23,AK,159.0
btm,24,AK,659.0
btm,13,BK,-478.0
btm,14,BK,-158.0
btm,15,BK,-98.0
btm,16,BK,239.0
btm,17,BK,747.0
btm,18,BK,-54.0
btm,19,BK,474.0
btm,20,BK,818.0
btm,21,BK,333.0
btm,22,BK,-262.0
btm,23,BK,240.0
btm,24,BK,130.0
btm,13,CK,-921.0
btm,14,CK,159.0
btm,15,CK,-151.0
btm,16,CK,188.0
btm,17,CK,-228.0
btm,18,CK,-469.0
btm,19,CK,-25.0
btm,20,CK,-84.0
btm,21,CK,-606.0
btm,22,CK,131.0
btm,23,CK,-121.0
btm,24,CK,-68.0
btm,13,DK,-1153.0
btm,14,DK,64.0
btm,15,DK,669.0
btm,16,DK,-209.0
btm,17,DK,331.0
btm,18,DK,339.0
btm,19,DK,201.0
btm,20,DK,-568.0
btm,21,DK,398.0
btm,22,DK,-428.0
btm,23,DK,86.0
btm,24,DK,-340.0
btm,13,EK,-912.0
btm,14,EK,-75.0
btm,15,EK,-528.0
btm,16,EK,498.0
btm,17,EK,123.0
btm,18,EK,-96.0
btm,19,EK,147.0
btm,20,EK,-285.0
btm,21,EK,-128.0
btm,22,EK,-248.0
btm,23,EK,-304.0
btm,24,EK,-178.0
btm,13,FK,-584.0
btm,14,FK,-264.0
btm,15,FK,-328.0
btm,16,FK,1381.0
btm,17,FK,470.0
btm,18,FK,-129.0
btm,19,FK,-690.0
btm,20,FK,-72.0
btm,21,FK,-260.0
btm,22,FK,213.0
btm,23,FK,393.0
