id,periode,pecahan,value
bjm,6,DK,-52
bjm,7,DK,52
bjm,8,DK,-1
bjm,9,DK,23
bjm,10,DK,41
bjm,11,DK,41
bjm,12,DK,40
bjm,1,EK,-804
bjm,2,EK,36
bjm,3,EK,29
bjm,4,EK,64
bjm,5,EK,606
bjm,6,EK,10
bjm,7,EK,49
bjm,8,EK,10
bjm,9,EK,45
bjm,10,EK,83
bjm,11,EK,63
bjm,12,EK,56
bjm,1,FK,-896
bjm,2,FK,49
bjm,3,FK,57
bjm,4,FK,88
bjm,5,FK,554
bjm,6,FK,7
bjm,7,FK,60
bjm,8,FK,113
bjm,9,FK,68
bjm,10,FK,129
bjm,11,FK,85
bjm,12,FK,89
bjm,1,GK,-33
bjm,2,GK,9
bjm,3,GK,18
bjm,4,GK,1
bjm,5,GK,42
bjm,6,GK,-4
bjm,7,GK,8
bjm,8,GK,17
bjm,9,GK,9
bjm,10,GK,13
bjm,11,GK,16
bjm,12,GK,19
bjm,1,GL,-132
bjm,2,GL,36
bjm,3,GL,72
bjm,4,GL,4
bjm,5,GL,168
bjm,6,GL,-16
bjm,7,GL,32
bjm,8,GL,68
bjm,9,GL,36
bjm,10,GL,52
bjm,11,GL,64
bjm,12,GL,76
bjm,1,HL,-125
bjm,2,HL,116
bjm,3,HL,86
bjm,4,HL,154
bjm,5,HL,173
bjm,6,HL,83
bjm,7,HL,156
bjm,8,HL,156
bjm,9,HL,97
bjm,10,HL,118
bjm,11,HL,112
bjm,12,HL,105
bjm,1,IL,34
bjm,2,IL,204
bjm,3,IL,200
bjm,4,IL,152
bjm,5,IL,66
bjm,6,IL,106
bjm,7,IL,146
bjm,8,IL,248
bjm,9,IL,232
bjm,10,IL,236
bjm,11,IL,210
bjm,12,IL,134
bjm,1,JL,-120
bjm,2,JL,134
bjm,3,JL,72
bjm,4,JL,242
bjm,5,JL,182
bjm,6,JL,72
bjm,7,JL,126
bjm,8,JL,224
bjm,9,JL,224
bjm,10,JL,100
bjm,11,JL,50
bjm,12,JL,46
bjm,1,KL,0
bjm,2,KL,0
bjm,3,KL,0
bjm,4,KL,0
bjm,5,KL,0
bjm,6,KL,0
bjm,7,KL,0
bjm,8,KL,0
bjm,9,KL,0
bjm,10,KL,0
bjm,11,KL,0
bjm,12,KL,0
btm,1,AK,-75
btm,2,AK,93
btm,3,AK,272
btm,4,AK,502
btm,5,AK,877
btm,6,AK,-95
btm,7,AK,197
btm,8,AK,286
btm,9,AK,251
btm,10,AK,219
btm,11,AK,289
btm,12,AK,389
btm,1,BK,-488
btm,2,BK,52
btm,3,BK,172
btm,4,BK,529
btm,5,BK,877
btm,6,BK,-324
btm,7,BK,124
btm,8,BK,368
btm,9,BK,323
btm,10,BK,268
btm,11,BK,370
btm,12,BK,400
btm,1,CK,-691
btm,2,CK,29
btm,3,CK,-1
btm,4,CK,138
btm,5,CK,42
btm,6,CK,1
btm,7,CK,-35
btm,8,CK,-54
btm,9,CK,4
btm,10,CK,21
btm,11,CK,29
btm,12,CK,42
btm,1,DK,-1003
btm,2,DK,54
btm,3,DK,-1
btm,4,DK,241
btm,5,DK,101
btm,6,DK,9
btm,7,DK,-29
btm,8,DK,-98
btm,9,DK,-12
btm,10,DK,22
btm,11,DK,16
btm,12,DK,70
btm,1,EK,-1022
btm,2,EK,55
btm,3,EK,2
btm,4,EK,388
btm,5,EK,173
btm,6,EK,-6
btm,7,EK,-103
btm,8,EK,-175
btm,9,EK,-18
btm,10,EK,22
btm,11,EK,6
btm,12,EK,92
btm,1,FK,-834
btm,2,FK,46
btm,3,FK,22
btm,4,FK,551
btm,5,FK,200
btm,6,FK,21
btm,7,FK,-80
btm,8,FK,-262
btm,9,FK,10
btm,10,FK,23
btm,11,FK,3
btm,12,FK,110
btm,1,GK,-113
btm,2,GK,8
btm,3,GK,10
btm,4,GK,32
btm,5,GK,32
btm,6,GK,12
btm,7,GK,8
btm,8,GK,4
btm,9,GK,26
btm,10,GK,21
btm,11,GK,41
btm,12,GK,63
btm,1,GL,-452
btm,2,GL,32
btm,3,GL,40
btm,4,GL,128
btm,5,GL,128
btm,6,GL,48
btm,7,GL,32
btm,8,GL,16
btm,9,GL,104
btm,10,GL,84
btm,11,GL,164
btm,12,GL,252
btm,1,HL,-405
btm,2,HL,90
btm,3,HL,102
btm,4,HL,146
btm,5,HL,221
btm,6,HL,32
btm,7,HL,163
btm,8,HL,140
btm,9,HL,122
btm,10,HL,146
btm,11,HL,158
btm,12,HL,147
btm,1,IL,112
btm,2,IL,66
btm,3,IL,84
btm,4,IL,178
btm,5,IL,48
btm,6,IL,22
btm,7,IL,232
btm,8,IL,202
btm,9,IL,172
btm,10,IL,180
btm,11,IL,236
btm,12,IL,186
btm,1,JL,46
btm,2,JL,98
btm,3,JL,166
btm,4,JL,228
btm,5,JL,276
btm,6,JL,22
btm,7,JL,280
btm,8,JL,226
btm,9,JL,192
btm,10,JL,188
btm,11,JL,142
btm,12,JL,200
btm,1,KL,0
btm,2,KL,0
btm,3,KL,0
btm,4,KL,0
btm,5,KL,0
btm,6,KL,0
btm,7,KL,0
btm,8,KL,0
btm,9,KL,0
btm,10,KL,0
btm,11,KL,0
btm,12,KL,0
bgl,1,AK,-673
bgl,2,AK,-28
bgl,3,AK,62
bgl,4,AK,149
bgl,5,AK,544
bgl,6,AK,39
bgl,7,AK,-9
bgl,8,AK,68
bgl,9,AK,36
bgl,10,AK,31
bgl,11,AK,85
bgl,12,AK,229
bgl,1,BK,-543
bgl,2,BK,-55
bgl,3,BK,72
bgl,4,BK,83
bgl,5,BK,563
bgl,6,BK,124
bgl,7,BK,35
bgl,8,BK,95
bgl,9,BK,20
bgl,10,BK,10
bgl,11,BK,83
bgl,12,BK,246
bgl,1,CK,-36
bgl,2,CK,10
bgl,3,CK,18
bgl,4,CK,11
bgl,5,CK,81
bgl,6,CK,-11
bgl,7,CK,17
bgl,8,CK,6
bgl,9,CK,14
bgl,10,CK,11
bgl,11,CK,15
bgl,12,CK,12
bgl,1,DK,-119
bgl,2,DK,49
bgl,3,DK,58
bgl,4,DK,41
bgl,5,DK,301
bgl,6,DK,19
bgl,7,DK,17
bgl,8,DK,13
bgl,9,DK,47
bgl,10,DK,47
bgl,11,DK,65
bgl,12,DK,26
bgl,1,EK,-60
bgl,2,EK,20
bgl,3,EK,39
bgl,4,EK,9
bgl,5,EK,397
bgl,6,EK,181
bgl,7,EK,30
bgl,8,EK,-12
bgl,9,EK,53
bgl,10,EK,104
bgl,11,EK,130
bgl,12,EK,96
bgl,1,FK,4
bgl,2,FK,48
bgl,3,FK,91
bgl,4,FK,56
bgl,5,FK,294
bgl,6,FK,114
bgl,7,FK,56
bgl,8,FK,43
bgl,9,FK,87
bgl,10,FK,78
bgl,11,FK,73
